num_catchers,num_runners,alpha,t50,t100
10,10,0.0,35.04,53.6
10,10,0.0,30.592000000000002,55.392
10,10,0.0,53.6,92.0
10,10,0.0,38.144,79.488
5,10,0.0,44.352000000000004,63.296
5,10,0.0,97.664,124.032
5,10,0.5,20.288,333.184
5,10,0.5,20.96,46.272
5,10,1.0,35.488,140.512
5,10,1.0,16.416,184.608
10,10,0.0,48.800000000000004,64.544
10,10,0.0,28.896,39.264
10,10,0.5,13.632,58.112
10,10,0.5,18.336000000000002,44.224000000000004
10,10,1.0,13.408,74.56
10,10,1.0,27.808,51.424
5,10,0.0,56.704,74.88
5,10,0.0,58.176,269.76
5,10,0.0,43.968,79.136
5,10,0.25,61.984,113.248
5,10,0.25,45.056,140.864
5,10,0.25,30.592000000000002,350.432
5,10,0.25,30.496000000000002,96.288
5,10,0.25,37.888,83.552
5,10,0.5,37.152,70.624
5,10,0.5,76.64,158.816
5,10,0.5,22.656,85.34400000000001
5,10,0.75,23.584,219.168
5,10,0.75,55.456,78.432
5,10,0.75,66.88,110.048
5,10,0.75,17.632,66.624
5,10,0.75,50.432,70.656
5,10,1.0,56.160000000000004,118.49600000000001
5,10,1.0,21.408,178.94400000000002
5,10,1.0,8.736,106.816
10,10,0.25,11.552,20.064
10,10,0.25,20.096,65.024
10,10,0.25,55.648,96.48
10,10,0.25,19.456,39.648
10,10,0.25,12.32,44.448
10,10,0.5,33.216,47.968
10,10,0.5,7.936,41.6
10,10,0.5,45.824,71.392
10,10,0.75,33.312,144.704
10,10,0.75,18.592,46.24
10,10,0.75,14.048,62.976
10,10,0.75,21.792,50.144
10,10,0.75,26.560000000000002,72.896
10,10,1.0,12.896,25.984
10,10,1.0,9.536,41.696
15,10,0.0,55.712,82.528
15,10,0.0,27.744,51.808
15,10,0.0,39.712,56.32
15,10,0.0,32.992,73.024
15,10,0.0,50.144,69.184
15,10,0.25,38.08,171.136
15,10,0.25,16.736,43.232
15,10,0.25,24.384,45.12
15,10,0.25,13.92,77.76
15,10,0.25,9.92,34.4
15,10,0.5,6.4,32.64
15,10,0.5,14.336,84.0
15,10,0.5,8.512,18.688
15,10,0.5,13.120000000000001,47.232
15,10,0.5,22.848,49.536
15,10,0.75,19.68,31.296
15,10,0.75,10.304,24.928
15,10,0.75,4.256,15.200000000000001
15,10,0.75,15.52,50.592
15,10,0.75,16.192,44.384
15,10,1.0,6.176,58.112
15,10,1.0,7.456,37.92
15,10,1.0,23.648,42.88
15,10,1.0,9.856,23.072
15,10,1.0,8.672,38.144
20,10,0.0,36.576,91.328
20,10,0.0,45.184,79.52
20,10,0.0,36.448,63.488
20,10,0.0,39.616,68.736
20,10,0.25,25.856,76.64
20,10,0.25,29.472,38.24
20,10,0.25,12.256,42.4
20,10,0.25,4.0,38.752
20,10,0.25,34.08,52.864000000000004
20,10,0.5,18.112000000000002,60.160000000000004
20,10,0.5,8.032,62.272
20,10,0.5,6.4,25.024
20,10,0.5,11.168000000000001,22.048000000000002
20,10,0.5,0.032,19.008
20,10,0.75,13.6,44.32
20,10,0.75,19.552,70.688
20,10,0.75,17.408,51.648
20,10,0.75,13.728,32.768
20,10,0.75,12.928,65.152
20,10,1.0,10.432,59.392
20,10,1.0,8.64,33.28
20,10,1.0,12.064,45.92
20,10,1.0,27.52,79.232
20,10,1.0,8.544,27.936
10,10,1.0,11.392,36.448
20,10,0.0,32.992,50.208
